Catálogo,Categoria,Item,Perguntas,Requisitos,Palavra-chave,OBS:,breadcrumb,
Fiscal,Suporte e Atendimento,Análise de lançamento fiscal,- É preciso a análise de uma nota fiscal já lançada?,"- Descrição do  erro operacional
- Número do lançamento no SAP
- Tipo de operação (NF entrada; NF Saída)
- Tipo de documento (Nfe; Cte; NFSe; RPS; Outros - especifique)
- Anexo
- Filial","-Lançada;
- Nota fiscal;
- Lançamento;
",A análise é feita a partir de nota fiscal já lançada no sistema SAP,,
Fiscal,Suporte e Atendimento,Conferência ISS Importação,- É preciso conferencia dos impostos de importação ?,"- Anexo
- Descrição","-Importação;
- ISS;
- serviço;
",É feita análise do excel ,,
Fiscal,Suporte e Atendimento,Análise de Nota Fiscal para lançamento,"-A nota fiscal foi lançada?
","- Tipo de operação (NF entrada; NF Saída)
- Anexo
- Descrição da dúvida","-nota fiscal;
- material;
- serviço;
",A análise é feita a partir de nota fiscal não lançada ( é feita conferencia para prosseguir com o lançamento),,
Fiscal,Suporte e Atendimento,Análise e preenchimento de recibo de pessoa física (RPS/RPA),"-É preciso análise do RPS?
- É preciso análise do RPA?
-É preciso preenchimento do RPS?
- É preciso preenchimento do RPA?
","- Número do Fornecedor no SAP;
- Filial;
- Condição do valor (Bruto; Líquido);
- Valor a ser pago para o fornecedor;
- Anexo;
- Descrição;","-RPS;
- RPA;
- serviço;
-preenchimento;
-conferência;
-análise;",é feita a conferencia/ preenchimento do RPS/RPA (excel anexo),,
Fiscal,Operações Fiscais,Análise de utilização  de crédito de imposto para operação de venda de produto,- É preciso que seja feita a análise de utilização de crédito de imposto para operação de venda de produto?,"- Anexo
- Descrição","- Análise;
- Utilização;
- Crédito;
- Imposto;
- Venda;",Análise de utilização  de crédito de imposto para operação de venda de produto,,
Fiscal,Operações Fiscais,Solicitação de Credenciamento ou Recredenciamento de filiais para benefício fiscal,serviço não consta no portal,"- Descrição
- Anexo",2,Alterar letras maiúsculas para minúsculas. Manter maiúsculas apenas a primeira letra da frase e siglas.,,
Fiscal,Suporte e Atendimento,análise de processamento de NF,"-É preciso que a nota fiscal seja aprovada?
- A nota fiscal está travada?
-A nota fiscal está com erro?
- A nota fiscal foi recusada?
","- Tipo de operação (Aprovação de NF, Reimpressão de NF, Recusa de NF, Status de NF)
'- Número do Lançamento no SAP
- Descrição
- Anexo","-nota travada;
- nota em processamento;
- nota fiscal recusada;
-nota fiscal com erro;
-nota não emitida;
",o campo é utilizado para analisar as notas fiscais que não foram completamente processadas e emitidas ( estão com erro ou problemas para emissão),,
Fiscal,Suporte e Atendimento,análise de XML para lançamento,"-É preciso que o XML seja cadastrado na ZNFE17 para lançamento na ZNFE18?
- O arquivo está com erro?
-O XML está integrando no GRC?
- o XML foi enviado para os e-mails nfe@suzano.com.br ou cte@suzano.com.br?
","- Anexo
- descrição","-XML;
- ZNFE17;
- ZNFE18;
-lançamento;

","-O XML pode ser cadastrado na ZNFE17 para lançamento na ZNFE18;                                -O erro para entrada do XML no sistema pode estar relacionado com o não no e-mail para integração
",,
Fiscal,Suporte e Atendimento,Extração de dados fiscais,-Quais documentos são necessários? ;                                                - A documentação é referente a alguma filial? Ou estado/ municipio em especifico?,"-  Descrição
- Anexo",-Informação de documentação necessária;                                              -Extração de dados fiscais,o campo é utilizado para que seja enviado relação de documentos/ relatórios referente a uma filial em específico ou municipio/ estado,,
Fiscal,Operações Fiscais,Cadastro tabela de excessão - ZNFE17,serviço não consta no portal,XML,2,,,
Fiscal,Operações Fiscais,Limpar caixa de XML,serviço não consta no portal,- descrição,1,,,
